BEVOEGD GEZAG NUMMER;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;PLAATSNAAM;PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;CROHO ONDERDEEL;VOLTIJD ONDERWIJS;DEELTIJD ONDERWIJS;DUAAL ONDERWIJS;TOTAAL
24832;reguliere inst.;14NI;Codarts, Hogeschool voor de Kunsten;ROTTERDAM;Zuid-Holland;0599;Rotterdam;onderwijs;165;9;0;174
24832;reguliere inst.;14NI;Codarts, Hogeschool voor de Kunsten;ROTTERDAM;Zuid-Holland;0599;Rotterdam;taal en cultuur;809;47;0;856
28901;reguliere inst.;00MF;Hogeschool voor de Kunsten Utrecht;UTRECHT;Utrecht;0344;Utrecht;economie;688;0;0;688
28901;reguliere inst.;00MF;Hogeschool voor de Kunsten Utrecht;UTRECHT;Utrecht;0344;Utrecht;onderwijs;290;87;0;377
28901;reguliere inst.;00MF;Hogeschool voor de Kunsten Utrecht;UTRECHT;Utrecht;0344;Utrecht;sectoroverstijgend;15;31;0;46
28901;reguliere inst.;00MF;Hogeschool voor de Kunsten Utrecht;UTRECHT;Utrecht;0344;Utrecht;taal en cultuur;2546;0;0;2546
28901;reguliere inst.;00MF;Hogeschool voor de Kunsten Utrecht;UTRECHT;Utrecht;0344;Utrecht;techniek;554;0;0;554
29615;reguliere inst.;02BY;Gerrit Rietveld Academie;AMSTERDAM;Noord-Holland;0363;Amsterdam;taal en cultuur;783;91;0;874
30041;reguliere inst.;00IC;Katholieke PABO Zwolle;ZWOLLE;Overijssel;0193;Zwolle;onderwijs;545;445;0;990
30156;reguliere inst.;31FR;NHL Stenden Hogeschool;LEEUWARDEN;Drenthe;0106;Assen;onderwijs;100;63;0;163
30156;reguliere inst.;31FR;NHL Stenden Hogeschool;LEEUWARDEN;Drenthe;0114;Emmen;economie;804;0;39;843
30156;reguliere inst.;31FR;NHL Stenden Hogeschool;LEEUWARDEN;Drenthe;0114;Emmen;gedrag en maatschappij;31;17;0;48
30156;reguliere inst.;31FR;NHL Stenden Hogeschool;LEEUWARDEN;Drenthe;0114;Emmen;onderwijs;303;0;0;303
30156;reguliere inst.;31FR;NHL Stenden Hogeschool;LEEUWARDEN;Drenthe;0114;Emmen;techniek;507;0;13;520
30156;reguliere inst.;31FR;NHL Stenden Hogeschool;LEEUWARDEN;Drenthe;0119;Meppel;onderwijs;490;0;0;490
30156;reguliere inst.;31FR;NHL Stenden Hogeschool;LEEUWARDEN;Friesland;0080;Leeuwarden;economie;9725;261;664;10650
30156;reguliere inst.;31FR;NHL Stenden Hogeschool;LEEUWARDEN;Friesland;0080;Leeuwarden;gedrag en maatschappij;1844;328;0;2172
30156;reguliere inst.;31FR;NHL Stenden Hogeschool;LEEUWARDEN;Friesland;0080;Leeuwarden;gezondheidszorg;721;369;0;1090
30156;reguliere inst.;31FR;NHL Stenden Hogeschool;LEEUWARDEN;Friesland;0080;Leeuwarden;onderwijs;2121;1271;0;3392
30156;reguliere inst.;31FR;NHL Stenden Hogeschool;LEEUWARDEN;Friesland;0080;Leeuwarden;sectoroverstijgend;32;39;0;71
30156;reguliere inst.;31FR;NHL Stenden Hogeschool;LEEUWARDEN;Friesland;0080;Leeuwarden;techniek;2790;160;14;2964
30156;reguliere inst.;31FR;NHL Stenden Hogeschool;LEEUWARDEN;Friesland;0093;Terschelling;techniek;418;45;0;463
30156;reguliere inst.;31FR;NHL Stenden Hogeschool;LEEUWARDEN;Groningen;0014;Groningen;gedrag en maatschappij;0;38;0;38
30156;reguliere inst.;31FR;NHL Stenden Hogeschool;LEEUWARDEN;Groningen;0014;Groningen;onderwijs;557;330;0;887
30156;reguliere inst.;31FR;NHL Stenden Hogeschool;LEEUWARDEN;Noord-Holland;0363;Amsterdam;economie;0;0;128;128
30156;reguliere inst.;31FR;NHL Stenden Hogeschool;LEEUWARDEN;Overijssel;0193;Zwolle;gedrag en maatschappij;0;29;0;29
30163;reguliere inst.;21RI;Hogeschool Leiden;LEIDEN;Zuid-Holland;0546;Leiden;economie;3378;15;0;3393
30163;reguliere inst.;21RI;Hogeschool Leiden;LEIDEN;Zuid-Holland;0546;Leiden;gedrag en maatschappij;2115;33;36;2184
30163;reguliere inst.;21RI;Hogeschool Leiden;LEIDEN;Zuid-Holland;0546;Leiden;gezondheidszorg;1708;9;592;2309
30163;reguliere inst.;21RI;Hogeschool Leiden;LEIDEN;Zuid-Holland;0546;Leiden;onderwijs;1316;572;0;1888
30163;reguliere inst.;21RI;Hogeschool Leiden;LEIDEN;Zuid-Holland;0546;Leiden;techniek;2608;0;0;2608
30183;reguliere inst.;07GR;Avans Hogeschool;TILBURG;Noord-Brabant;0758;Breda;economie;5527;1399;152;7078
30183;reguliere inst.;07GR;Avans Hogeschool;TILBURG;Noord-Brabant;0758;Breda;gedrag en maatschappij;1043;314;0;1357
30183;reguliere inst.;07GR;Avans Hogeschool;TILBURG;Noord-Brabant;0758;Breda;gezondheidszorg;1455;539;61;2055
30183;reguliere inst.;07GR;Avans Hogeschool;TILBURG;Noord-Brabant;0758;Breda;onderwijs;508;132;0;640
30183;reguliere inst.;07GR;Avans Hogeschool;TILBURG;Noord-Brabant;0758;Breda;taal en cultuur;650;0;0;650
30183;reguliere inst.;07GR;Avans Hogeschool;TILBURG;Noord-Brabant;0758;Breda;techniek;3925;556;47;4528
30183;reguliere inst.;07GR;Avans Hogeschool;TILBURG;Noord-Brabant;0796;'s-Hertogenbosch;economie;8079;820;279;9178
30183;reguliere inst.;07GR;Avans Hogeschool;TILBURG;Noord-Brabant;0796;'s-Hertogenbosch;gedrag en maatschappij;1316;277;0;1593
30183;reguliere inst.;07GR;Avans Hogeschool;TILBURG;Noord-Brabant;0796;'s-Hertogenbosch;gezondheidszorg;863;173;32;1068
30183;reguliere inst.;07GR;Avans Hogeschool;TILBURG;Noord-Brabant;0796;'s-Hertogenbosch;taal en cultuur;436;0;0;436
30183;reguliere inst.;07GR;Avans Hogeschool;TILBURG;Noord-Brabant;0796;'s-Hertogenbosch;techniek;4227;0;0;4227
30183;reguliere inst.;07GR;Avans Hogeschool;TILBURG;Noord-Brabant;0855;Tilburg;techniek;1089;143;161;1393
30183;reguliere inst.;07GR;Avans Hogeschool;TILBURG;Noord-Brabant;1674;Roosendaal;economie;236;0;0;236
