PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2016;2017;2018;2019;2020
Drenthe;0106;Assen;reguliere inst.;bachelor;25BE;Hanzehogeschool Groningen;techniek;n.v.t. (techniek);34267;B Elektrotechniek;voltijd onderwijs;man;36;25;25;0;0
Drenthe;0106;Assen;reguliere inst.;bachelor;25BE;Hanzehogeschool Groningen;techniek;n.v.t. (techniek);34267;B Elektrotechniek;voltijd onderwijs;vrouw;3;1;3;0;0
Drenthe;0106;Assen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;deeltijd onderwijs;man;0;0;0;0;9
Drenthe;0106;Assen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;deeltijd onderwijs;vrouw;0;0;0;0;17
Drenthe;0106;Assen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;man;8;12;14;2;0
Drenthe;0106;Assen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;vrouw;23;19;22;1;0
Drenthe;0106;Assen;reguliere inst.;master;25BE;Hanzehogeschool Groningen;techniek;n.v.t. (techniek);40015;M Smart Systems Engineering;voltijd onderwijs;man;8;6;5;11;12
Drenthe;0106;Assen;reguliere inst.;master;25BE;Hanzehogeschool Groningen;techniek;n.v.t. (techniek);40015;M Smart Systems Engineering;voltijd onderwijs;vrouw;1;0;2;4;3
Drenthe;0114;Emmen;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80009;Ad Tourism Management;voltijd onderwijs;man;1;4;0;3;2
Drenthe;0114;Emmen;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80009;Ad Tourism Management;voltijd onderwijs;vrouw;15;10;6;10;7
Drenthe;0114;Emmen;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80040;Ad Leisure & Events Management;voltijd onderwijs;man;7;10;5;6;3
Drenthe;0114;Emmen;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80040;Ad Leisure & Events Management;voltijd onderwijs;vrouw;18;21;13;18;12
Drenthe;0114;Emmen;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80041;Ad Hotel Management;duaal onderwijs;man;1;0;2;1;0
Drenthe;0114;Emmen;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80041;Ad Hotel Management;duaal onderwijs;vrouw;0;3;2;2;0
