PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;SOORT DIPLOMA;GESLACHT;2015;2016;2017;2018;2019
Drenthe;0106;Assen;reguliere inst.;25BE;Hanzehogeschool Groningen;techniek;n.v.t. (techniek);34267;B Elektrotechniek;voltijd onderwijs;hbo bachelor;man;12;11;10;13;9
Drenthe;0106;Assen;reguliere inst.;25BE;Hanzehogeschool Groningen;techniek;n.v.t. (techniek);34267;B Elektrotechniek;voltijd onderwijs;hbo bachelor;vrouw;2;2;2;0;2
Drenthe;0106;Assen;reguliere inst.;25BE;Hanzehogeschool Groningen;techniek;n.v.t. (techniek);40015;M Smart Systems Engineering;voltijd onderwijs;hbo master;man;4;4;5;7;0
Drenthe;0106;Assen;reguliere inst.;25BE;Hanzehogeschool Groningen;techniek;n.v.t. (techniek);40015;M Smart Systems Engineering;voltijd onderwijs;hbo master;vrouw;2;1;0;2;0
Drenthe;0106;Assen;reguliere inst.;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;hbo bachelor;man;5;8;7;6;9
Drenthe;0106;Assen;reguliere inst.;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;hbo bachelor;vrouw;27;20;18;18;23
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);30029;B International Business;voltijd onderwijs;hbo bachelor;man;4;4;6;3;4
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);30029;B International Business;voltijd onderwijs;hbo bachelor;vrouw;19;16;14;12;17
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;hbo bachelor;man;31;23;19;27;25
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;hbo bachelor;vrouw;38;32;18;21;16
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;hbo bachelor;man;16;9;18;16;24
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;hbo bachelor;vrouw;7;6;5;10;9
